"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"36","For ski-wear that will look just as chic in the chalet as it will on the slopes, look to @PM_sportswear  ",FALSE,10,NA,2017-12-04 17:19:01,TRUE,NA,"937732988913246209",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",4,FALSE,FALSE,NA,NA
"37","Colombian designer @JohannaOrtizg creates feminine and elegant pieces in a fresh and wearable color palette. Shop h ",FALSE,25,NA,2017-12-04 15:01:02,TRUE,NA,"937698263679021056",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",6,FALSE,FALSE,NA,NA
"38","Her performance in @WestworldHBO earned her #GoldenGlobe + #Emmy nominations: #THEEDIT sits down with ",FALSE,9,NA,2017-12-04 14:36:01,TRUE,NA,"937691968980873216",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"39","From the Studio 54-worthy metallic pantsuit to the hottest dance-floor shoes, #THEEDIT rounds up the party pieces t ",FALSE,16,NA,2017-12-04 12:23:02,TRUE,NA,"937658501354147840",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",6,FALSE,FALSE,NA,NA
"40","Chances are high that you will see @Balenciagas printed tees again and again in blog posts and social media feeds. ",FALSE,9,NA,2017-12-04 10:31:52,TRUE,NA,"937630527431020545",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"41","@annabeltwiddle , were sorry to hear this. Please DM your details and order number and we will look into this for you.",FALSE,0,"annabeltwiddle",2017-12-04 09:49:00,FALSE,"937613871510155264","937619739400130560","126378013","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"42","Press play to find out what our 5 cover stars really think about sexism, diversity and equal opportunities in front ",FALSE,73,NA,2017-12-03 23:25:41,TRUE,NA,"937462874007621633",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",19,FALSE,FALSE,NA,NA
"43","Our annual gift list is here (spoiler: it's the wish list of dreams) #THEEDIT ",FALSE,23,NA,2017-12-03 20:12:01,FALSE,NA,"937414138069954561",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",4,FALSE,FALSE,NA,NA
"44","Currently pinning: the hottest heels. From shirt dresses to jeans, elevate any outfit with the addition of ",FALSE,20,NA,2017-12-03 18:45:02,TRUE,NA,"937392246277771264",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",3,FALSE,FALSE,NA,NA
"45","@skyeezfalling Thank you for contacting us. To better assist you, please DM us your email address.",FALSE,0,"skyeezfalling",2017-12-03 18:26:27,FALSE,"937368293622427648","937387571897921536","164002445","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
