"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"59","William Banks-Blaney of @WilliamVintage shares 5 iconic Versace pieces from his unrivaled collection: @marieclaireuk",FALSE,1,NA,2017-10-13 13:37:16,FALSE,NA,"918833013814976512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"60","The Great @VANS_66 Debate: What colour did you see?  We just might need to change that product description . . . ",FALSE,1,NA,2017-10-13 01:32:32,FALSE,NA,"918650631757365249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
"61","@edu_timm Farfetch no oferece o servio de troca, mas pode usar o nosso sistema de devolues gratuitas para receber o valor de volta.",FALSE,0,"edu_timm",2017-10-12 09:34:37,FALSE,"917569694600777730","918409561404592128","57810410","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"62","@edu_timm Farfetch  uma plataforma que trabalha com parceiros de todo o mundo. Infelizmente, no  possvel provar os artigos na loja.",FALSE,0,"edu_timm",2017-10-11 12:35:36,FALSE,"917569694600777730","918092721155342338","57810410","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"63","From 1981 to Giannis final show in 1997500 pieces from @WilliamVintages exclusive Versace collection are here: ",FALSE,10,NA,2017-10-10 18:55:34,TRUE,NA,"917825954717818883",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",2,FALSE,FALSE,NA,NA
"64","The best boots of the season are herewhat's your poison?  @aquazzura @MaisonValentino ",FALSE,6,NA,2017-10-08 17:15:17,TRUE,NA,"917075942429904896",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"65","What to see, what to do, and (most importantly) what to wear this month: ",FALSE,4,NA,2017-10-08 15:10:12,FALSE,NA,"917044464312553473",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"66","To all the hopeless romantics out there, these fall dresses are for you: @MarchesaFashion ",FALSE,7,NA,2017-10-08 13:56:16,TRUE,NA,"917025858640142336",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"67","Check mate! Find the perfect plaid for fall: ",FALSE,6,NA,2017-10-07 22:52:00,FALSE,NA,"916798289651142657",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"68","Shine on! The best metallic accessories of the season are here: @OffWht @proenzaschouler ",FALSE,7,NA,2017-10-07 22:35:37,TRUE,NA,"916794167216484353",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"69","Hello, are you there? @WilliamVintage's @Versace collection is coming to Farfetch and @carovreeland got a sneak pee ",FALSE,19,NA,2017-10-06 18:25:18,TRUE,NA,"916368783958335488",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",5,FALSE,FALSE,NA,NA
"70","When @ThomBrowneNY met @coletteparisan exclusive look at the new collaboration: ",FALSE,4,NA,2017-10-05 19:26:23,FALSE,NA,"916021769424785408",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"71","What's the one word you would use to describe #PFW?",FALSE,1,NA,2017-10-01 22:51:27,FALSE,NA,"914623826654310400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
